考号,班级,原始分,联考排名,学校排名,班级排名
820120012,20,147,1,1,1
820109034,9,144,2,2,1
820129005,29,143,3,3,1
820110035,10,143,3,3,1
820120001,20,141,5,5,2
820120051,20,140,6,6,3
820120004,20,140,6,6,3
820111004,11,140,6,6,1
820109052,9,140,6,6,2
820120010,20,139,10,10,5
820110074,10,139,10,10,2
820109015,9,139,10,10,3
820120039,20,138,13,13,6
820120014,20,138,13,13,6
820120006,20,138,13,13,6
820109040,9,138,13,13,4
820109023,9,138,13,13,4
820109051,9,136,18,18,6
820109039,9,136,18,18,6
820120002,20,135,20,20,9
820110093,10,135,20,20,3
820109093,9,135,20,20,8
820120035,20,134,23,23,10
820120028,20,134,23,23,10
820110036,10,134,23,23,4
820109092,9,134,23,23,9
820120050,20,133,28,27,12
820120032,20,133,28,27,12
820120011,20,133,28,27,12
820120009,20,133,28,27,12
820109021,9,133,28,27,10
820120091,20,132,33,32,16
820120040,20,132,33,32,16
820120038,20,132,33,32,16
820120022,20,132,33,32,16
820120013,20,132,33,32,16
820110015,10,132,33,32,5
820110010,10,132,33,32,5
820109044,9,132,33,32,11
820126060,26,131,42,40,1
820123007,23,131,42,40,1
820121091,21,131,42,40,1
820121008,21,131,42,40,1
820120092,20,131,42,40,21
820110044,10,131,42,40,7
820109022,9,131,42,40,12
820129001,29,130,49,47,2
820120030,20,130,49,47,22
820120029,20,130,49,47,22
820116015,16,130,49,47,1
820110032,10,130,49,47,8
820110012,10,130,49,47,8
820109026,9,130,49,47,13
820132001,32,129,57,54,1
820114008,14,129,57,54,1
820110006,10,129,57,54,10
820109058,9,129,57,54,14
820109024,9,129,57,54,14
820109006,9,129,57,54,14
820136007,36,128,64,60,1
820125003,25,128,64,60,1
820120048,20,128,64,60,24
820120046,20,128,64,60,24
820115093,15,128,64,60,1
820110039,10,128,64,60,11
820110033,10,128,64,60,11
820109057,9,128,64,60,17
820109018,9,128,64,60,17
820124017,24,127,73,69,1
820120008,20,127,73,69,26
820109091,9,127,73,69,19
820131002,31,126,76,72,1
820123006,23,126,76,72,2
820120049,20,126,76,72,27
820117002,17,126,76,72,1
820114076,14,126,76,72,2
820132037,32,125,84,77,2
820131078,31,125,84,77,2
820124091,24,125,84,77,2
820120021,20,125,84,77,28
820113017,13,125,84,77,1
820110022,10,125,84,77,13
820110013,10,125,84,77,13
820109037,9,125,84,77,20
820109033,9,125,84,77,20
820109016,9,125,84,77,20
820135001,35,124,94,87,1
820131007,31,124,94,87,3
820121010,21,124,94,87,3
820120025,20,124,94,87,29
820120019,20,124,94,87,29
820110073,10,124,94,87,15
820110014,10,124,94,87,15
820109029,9,124,94,87,23
