城市名,时间,AQI,质量等级,PM2.5,PM10,SO2,NO2
北京,2021-02-01,50.0,优,17.0,50.0,2.0,11.0
北京,2021-02-02,37.0,优,14.0,37.0,3.0,19.0
北京,2021-02-03,49.0,优,17.0,49.0,3.0,23.0
北京,2021-02-04,57.0,良,35.0,63.0,5.0,35.0
北京,2021-02-05,62.0,良,41.0,74.0,4.0,45.0
北京,2021-02-06,84.0,良,35.0,117.0,4.0,25.0
北京,2021-02-07,51.0,良,22.0,51.0,4.0,13.0
北京,2021-02-08,45.0,优,31.0,44.0,3.0,29.0
北京,2021-02-09,87.0,良,64.0,73.0,6.0,40.0
北京,2021-02-10,100.0,良,75.0,83.0,6.0,38.0
北京,2021-02-11,215.0,重度污染,165.0,154.0,9.0,42.0
北京,2021-02-12,249.0,重度污染,199.0,204.0,9.0,31.0
北京,2021-02-13,257.0,重度污染,207.0,193.0,5.0,39.0
北京,2021-02-14,132.0,轻度污染,100.0,86.0,2.0,20.0
北京,2021-02-15,37.0,优,9.0,30.0,2.0,8.0
北京,2021-02-16,39.0,优,5.0,30.0,2.0,4.0
北京,2021-02-17,36.0,优,9.0,16.0,2.0,8.0
北京,2021-02-18,38.0,优,26.0,35.0,4.0,26.0
北京,2021-02-19,60.0,良,43.0,66.0,4.0,42.0
北京,2021-02-20,72.0,良,46.0,93.0,5.0,49.0
北京,2021-02-21,118.0,轻度污染,54.0,186.0,4.0,32.0
北京,2021-02-22,59.0,良,28.0,67.0,3.0,14.0
北京,2021-02-23,49.0,优,28.0,49.0,3.0,20.0
北京,2021-02-24,62.0,良,44.0,52.0,3.0,27.0
北京,2021-02-25,107.0,轻度污染,80.0,77.0,4.0,35.0
北京,2021-02-26,173.0,中度污染,131.0,109.0,4.0,39.0
北京,2021-02-27,159.0,中度污染,121.0,99.0,6.0,40.0
北京,2021-02-28,125.0,轻度污染,95.0,70.0,3.0,37.0
北京,2021-03-01,34.0,优,22.0,17.0,2.0,14.0
