,省份,附属城市
0,北京,['北京']
1,天津,['天津']
2,上海,['上海']
3,重庆,['重庆']
4,河北,"['石家庄', '唐山', '秦皇岛', '保定', '张家口', '邯郸', '邢台', '承德', '沧州', '廊坊', '衡水']"
5,山西,"['太原', '大同', '阳泉', '长治', '临汾', '晋城', '朔州', '运城', '忻州', '吕梁', '晋中']"
6,内蒙古,"['呼和浩特', '包头', '鄂尔多斯', '乌海', '赤峰', '通辽', '巴彦淖尔', '兴安盟', '阿拉善盟', '呼伦贝尔', '二连浩特', '锡林郭勒']"
7,辽宁,"['沈阳', '大连', '丹东', '营口', '盘锦', '葫芦岛', '鞍山', '锦州', '本溪', '瓦房店', '抚顺', '辽阳', '阜新', '朝阳', '铁岭']"
8,吉林,"['长春', '吉林', '四平', '辽源', '白山', '松原', '白城', '延边', '通化']"
9,黑龙江,"['哈尔滨', '齐齐哈尔', '鸡西', '鹤岗', '双鸭山', '大庆', '佳木斯', '七台河', '牡丹江', '黑河', '绥化', '大兴安岭', '伊春', '甘南']"
10,江苏,"['南京', '无锡', '徐州', '常州', '苏州', '南通', '连云港', '淮安', '盐城', '扬州', '镇江', '泰州', '宿迁', '昆山', '海门', '太仓', '江阴', '溧阳', '金坛', '宜兴', '句容', '常熟', '吴江', '张家港']"
11,浙江,"['杭州', '宁波', '温州', '嘉兴', '湖州', '金华', '衢州', '舟山', '台州', '丽水', '绍兴', '义乌', '富阳', '临安']"
12,安徽,"['合肥', '芜湖', '蚌埠', '淮南', '马鞍山', '淮北', '铜陵', '安庆', '黄山', '滁州', '阜阳', '宿州', '巢湖', '六安', '亳州', '池州', '宣城']"
13,福建,"['福州', '厦门', '泉州', '莆田', '三明', '漳州', '南平', '龙岩', '宁德']"
14,江西,"['南昌', '景德镇', '萍乡', '新余', '鹰潭', '赣州', '宜春', '抚州', '九江', '上饶', '吉安']"
15,山东,"['济南', '青岛', '淄博', '枣庄', '东营', '烟台', '潍坊', '济宁', '泰安', '威海', '日照', '莱芜', '临沂', '德州', '聊城', '滨州', '菏泽', '乳山', '荣成', '文登', '章丘', '平度', '莱州', '招远', '莱西', '胶州', '蓬莱', '胶南', '寿光', '即墨']"
16,河南,"['郑州', '洛阳', '平顶山', '鹤壁', '焦作', '漯河', '三门峡', '南阳', '商丘', '信阳', '周口', '驻马店', '安阳', '开封', '濮阳', '许昌', '新乡']"
17,湖北,"['武汉', '十堰', '宜昌', '鄂州', '荆门', '孝感', '黄冈', '咸宁', '黄石', '恩施', '襄阳', '随州', '荆州']"
18,湖南,"['长沙', '株洲', '湘潭', '常德', '张家界', '益阳', '郴州', '永州', '怀化', '娄底', '邵阳', '岳阳', '湘西', '衡阳']"
19,广东,"['广州', '韶关', '深圳', '珠海', '汕头', '佛山', '江门', '肇庆', '惠州', '河源', '清远', '东莞', '中山', '湛江', '茂名', '梅州', '汕尾', '阳江', '潮州', '揭阳', '云浮']"
20,广西,"['南宁', '柳州', '北海', '桂林', '梧州', '防城港', '钦州', '贵港', '玉林', '百色', '贺州', '河池', '来宾', '崇左']"
21,海南,"['海口', '三亚']"
22,四川,"['成都', '自贡', '攀枝花', '泸州', '德阳', '绵阳', '广元', '遂宁', '乐山', '南充', '眉山', '达州', '雅安', '巴中', '资阳', '甘孜', '内江', '宜宾', '广安', '阿坝', '凉山']"
23,贵州,"['贵阳', '六盘水', '遵义', '安顺', '毕节', '铜仁', '黔西南', '黔南', '黔东南']"
24,云南,"['昆明', '玉溪', '保山', '昭通', '丽江', '临沧', '西双版纳', '德宏', '怒江', '大理', '曲靖', '楚雄', '红河', '思茅', '文山', '普洱', '迪庆']"
25,西藏,"['拉萨', '林芝', '山南', '昌都', '日喀则', '阿里', '那曲']"
26,陕西,"['西安', '铜川', '宝鸡', '咸阳', '渭南', '延安', '汉中', '榆林', '安康', '商洛']"
27,甘肃,"['兰州', '嘉峪关', '天水', '武威', '张掖', '平凉', '酒泉', '庆阳', '定西', '甘南', '临夏', '白银', '金昌', '陇南']"
28,青海,"['西宁', '海东', '果洛', '海北', '海南', '海西', '玉树', '黄南']"
29,宁夏,"['银川', '石嘴山', '吴忠', '固原', '中卫']"
30,新疆,"['乌鲁木齐', '伊犁哈萨克州', '克拉玛依', '哈密', '石河子', '和田', '五家渠', '阿克苏', '阿勒泰', '喀什', '库尔勒', '吐鲁番', '塔城', '博州', '昌吉', '克州']"
