城市名,时间,AQI,质量等级,PM2.5,PM10,SO2,NO2
成都,2021-02-01,85.0,良,63.0,96.0,7.0,47.0
成都,2021-02-02,122.0,轻度污染,92.0,137.0,7.0,73.0
成都,2021-02-03,168.0,中度污染,127.0,177.0,9.0,60.0
成都,2021-02-04,200.0,中度污染,150.0,198.0,7.0,65.0
成都,2021-02-05,70.0,良,51.0,68.0,6.0,46.0
成都,2021-02-06,82.0,良,60.0,86.0,7.0,49.0
成都,2021-02-07,89.0,良,66.0,89.0,6.0,49.0
成都,2021-02-08,99.0,良,74.0,103.0,8.0,49.0
成都,2021-02-09,129.0,轻度污染,98.0,123.0,6.0,38.0
成都,2021-02-10,123.0,轻度污染,93.0,114.0,6.0,32.0
成都,2021-02-11,139.0,轻度污染,106.0,128.0,7.0,33.0
成都,2021-02-12,160.0,中度污染,122.0,144.0,8.0,22.0
成都,2021-02-13,72.0,良,52.0,63.0,6.0,15.0
成都,2021-02-14,68.0,良,49.0,62.0,5.0,16.0
成都,2021-02-15,38.0,优,24.0,38.0,5.0,13.0
成都,2021-02-16,47.0,优,20.0,37.0,4.0,18.0
成都,2021-02-17,45.0,优,27.0,43.0,6.0,20.0
成都,2021-02-18,40.0,优,21.0,31.0,4.0,19.0
成都,2021-02-19,50.0,优,25.0,36.0,4.0,26.0
成都,2021-02-20,57.0,良,40.0,61.0,6.0,40.0
成都,2021-02-21,74.0,良,54.0,85.0,7.0,52.0
成都,2021-02-22,94.0,良,70.0,102.0,7.0,55.0
成都,2021-02-23,102.0,轻度污染,76.0,111.0,7.0,55.0
成都,2021-02-24,90.0,良,67.0,95.0,8.0,39.0
成都,2021-02-25,36.0,优,25.0,36.0,5.0,25.0
成都,2021-02-26,32.0,优,18.0,25.0,6.0,25.0
成都,2021-02-27,34.0,优,22.0,34.0,4.0,25.0
成都,2021-02-28,25.0,优,9.0,16.0,4.0,20.0
成都,2021-03-01,47.0,优,23.0,47.0,4.0,30.0
