城市名,时间,AQI,质量等级,PM2.5,PM10,SO2,NO2
重庆,2021-04-01,32.0,优,20.0,30.0,7.0,25.0
重庆,2021-04-02,32.0,优,18.0,29.0,8.0,25.0
重庆,2021-04-03,33.0,优,21.0,33.0,8.0,25.0
重庆,2021-04-04,33.0,优,21.0,33.0,8.0,25.0
重庆,2021-04-05,35.0,优,17.0,30.0,9.0,28.0
重庆,2021-04-06,47.0,优,24.0,39.0,10.0,37.0
重庆,2021-04-07,43.0,优,23.0,34.0,8.0,34.0
重庆,2021-04-08,43.0,优,28.0,43.0,8.0,32.0
重庆,2021-04-09,37.0,优,16.0,30.0,11.0,29.0
重庆,2021-04-10,40.0,优,23.0,37.0,9.0,32.0
重庆,2021-04-11,40.0,优,26.0,40.0,9.0,32.0
重庆,2021-04-12,49.0,优,32.0,49.0,9.0,37.0
重庆,2021-04-13,54.0,良,35.0,57.0,10.0,39.0
重庆,2021-04-14,46.0,优,31.0,46.0,8.0,31.0
重庆,2021-04-15,45.0,优,29.0,45.0,8.0,31.0
重庆,2021-04-16,41.0,优,25.0,41.0,8.0,32.0
重庆,2021-04-17,55.0,良,31.0,57.0,9.0,29.0
重庆,2021-04-18,53.0,良,28.0,54.0,6.0,32.0
