,日期,月份,周,名称,开盘价,收盘价,最低价,最高价
0,2020-01-02,2020-01,2020-1,平安银行,16.65,16.87,16.55,16.95
1,2020-01-03,2020-01,2020-1,平安银行,16.94,17.18,16.92,17.31
2,2020-01-06,2020-01,2020-2,平安银行,17.01,17.07,16.91,17.34
3,2020-01-07,2020-01,2020-2,平安银行,17.13,17.15,16.95,17.28
4,2020-01-08,2020-01,2020-2,平安银行,17.0,16.66,16.63,17.05
5,2020-01-09,2020-01,2020-2,平安银行,16.81,16.79,16.53,16.93
6,2020-01-10,2020-01,2020-2,平安银行,16.79,16.69,16.52,16.81
7,2020-01-13,2020-01,2020-3,平安银行,16.75,16.99,16.61,17.03
8,2020-01-14,2020-01,2020-3,平安银行,16.99,16.76,16.76,17.27
9,2020-01-15,2020-01,2020-3,平安银行,16.79,16.52,16.45,16.86
10,2020-01-16,2020-01,2020-3,平安银行,16.52,16.33,16.2,16.57
11,2020-01-17,2020-01,2020-3,平安银行,16.38,16.39,16.35,16.55
12,2020-01-20,2020-01,2020-4,平安银行,16.43,16.45,16.35,16.61
13,2020-01-21,2020-01,2020-4,平安银行,16.34,16.0,15.93,16.34
14,2020-01-22,2020-01,2020-4,平安银行,15.92,16.09,15.71,16.16
15,2020-01-23,2020-01,2020-4,平安银行,15.92,15.54,15.39,15.92
16,2020-02-03,2020-02,2020-6,平安银行,13.99,13.99,13.99,14.7
17,2020-02-04,2020-02,2020-6,平安银行,14.05,14.6,14.02,14.66
18,2020-02-05,2020-02,2020-6,平安银行,14.59,14.63,14.32,14.89
19,2020-02-06,2020-02,2020-6,平安银行,14.81,14.77,14.51,14.87
20,2020-02-07,2020-02,2020-6,平安银行,14.6,14.62,14.41,14.69
21,2020-02-10,2020-02,2020-7,平安银行,14.51,14.5,14.3,14.53
22,2020-02-11,2020-02,2020-7,平安银行,14.6,14.79,14.56,14.94
23,2020-02-12,2020-02,2020-7,平安银行,14.79,14.77,14.6,14.82
24,2020-02-13,2020-02,2020-7,平安银行,14.71,14.65,14.61,14.88
25,2020-02-14,2020-02,2020-7,平安银行,14.75,15.03,14.7,15.14
26,2020-02-17,2020-02,2020-8,平安银行,15.04,15.37,14.93,15.37
27,2020-02-18,2020-02,2020-8,平安银行,15.33,15.2,15.01,15.33
28,2020-02-19,2020-02,2020-8,平安银行,15.1,15.24,15.08,15.37
29,2020-02-20,2020-02,2020-8,平安银行,15.27,15.59,15.1,15.62
30,2020-02-21,2020-02,2020-8,平安银行,15.49,15.58,15.45,15.72
31,2020-02-24,2020-02,2020-9,平安银行,15.46,15.23,15.15,15.46
32,2020-02-25,2020-02,2020-9,平安银行,15.0,15.04,14.78,15.13
33,2020-02-26,2020-02,2020-9,平安银行,14.77,14.99,14.7,15.27
34,2020-02-27,2020-02,2020-9,平安银行,14.96,15.11,14.89,15.15
35,2020-02-28,2020-02,2020-9,平安银行,14.85,14.5,14.46,15.04
36,2020-03-02,2020-03,2020-10,平安银行,14.55,14.79,14.46,14.95
37,2020-03-03,2020-03,2020-10,平安银行,14.96,14.72,14.63,14.99
38,2020-03-04,2020-03,2020-10,平安银行,14.68,14.69,14.51,14.78
39,2020-03-05,2020-03,2020-10,平安银行,14.8,15.39,14.73,15.64
40,2020-03-06,2020-03,2020-10,平安银行,15.18,15.03,15.02,15.27
41,2020-03-09,2020-03,2020-11,平安银行,14.71,14.45,14.42,14.73
42,2020-03-10,2020-03,2020-11,平安银行,14.38,14.76,14.38,14.85
43,2020-03-11,2020-03,2020-11,平安银行,14.77,14.69,14.62,14.88
44,2020-03-12,2020-03,2020-11,平安银行,14.65,14.68,14.53,14.84
45,2020-03-13,2020-03,2020-11,平安银行,13.9,14.52,13.9,14.58
46,2020-03-16,2020-03,2020-12,平安银行,14.45,13.75,13.75,14.46
47,2020-03-17,2020-03,2020-12,平安银行,13.75,13.41,13.13,13.97
48,2020-03-18,2020-03,2020-12,平安银行,13.41,12.71,12.65,13.55
49,2020-03-19,2020-03,2020-12,平安银行,12.68,12.23,11.91,12.74
50,2020-03-20,2020-03,2020-12,平安银行,12.4,12.52,12.26,12.68
51,2020-03-23,2020-03,2020-13,平安银行,12.0,12.15,11.93,12.35
52,2020-03-24,2020-03,2020-13,平安银行,12.4,12.61,12.27,12.68
53,2020-03-25,2020-03,2020-13,平安银行,12.88,12.87,12.7,13.07
54,2020-03-26,2020-03,2020-13,平安银行,12.78,13.06,12.72,13.34
55,2020-03-27,2020-03,2020-13,平安银行,13.25,13.15,13.08,13.38
56,2020-03-30,2020-03,2020-14,平安银行,12.85,12.94,12.76,13.04
57,2020-03-31,2020-03,2020-14,平安银行,13.05,12.8,12.78,13.09
58,2020-04-01,2020-04,2020-14,平安银行,12.86,12.89,12.82,13.13
59,2020-04-02,2020-04,2020-14,平安银行,12.75,12.97,12.66,12.97
60,2020-04-03,2020-04,2020-14,平安银行,12.82,12.61,12.55,12.89
61,2020-04-07,2020-04,2020-15,平安银行,12.89,12.88,12.81,12.94
62,2020-04-08,2020-04,2020-15,平安银行,12.88,12.78,12.72,12.92
63,2020-04-09,2020-04,2020-15,平安银行,12.88,12.74,12.72,12.89
64,2020-04-10,2020-04,2020-15,平安银行,12.76,12.79,12.65,12.98
65,2020-04-13,2020-04,2020-16,平安银行,12.67,12.59,12.47,12.71
66,2020-04-14,2020-04,2020-16,平安银行,12.65,12.86,12.57,12.86
67,2020-04-15,2020-04,2020-16,平安银行,12.86,12.87,12.78,12.93
68,2020-04-16,2020-04,2020-16,平安银行,12.79,12.68,12.54,12.79
69,2020-04-17,2020-04,2020-16,平安银行,12.77,12.89,12.65,13.04
70,2020-04-20,2020-04,2020-17,平安银行,12.86,12.99,12.77,13.05
71,2020-04-21,2020-04,2020-17,平安银行,13.3,13.45,13.3,13.7
72,2020-04-22,2020-04,2020-17,平安银行,13.37,13.23,13.16,13.42
73,2020-04-23,2020-04,2020-17,平安银行,13.23,13.23,13.11,13.31
74,2020-04-24,2020-04,2020-17,平安银行,13.17,13.24,13.11,13.28
75,2020-04-27,2020-04,2020-18,平安银行,13.3,13.5,13.25,13.64
76,2020-04-28,2020-04,2020-18,平安银行,13.45,13.52,13.27,13.56
77,2020-04-29,2020-04,2020-18,平安银行,13.48,14.02,13.45,14.1
78,2020-04-30,2020-04,2020-18,平安银行,14.02,13.93,13.88,14.32
79,2020-05-06,2020-05,2020-19,平安银行,13.76,13.77,13.61,13.89
80,2020-05-07,2020-05,2020-19,平安银行,13.76,13.69,13.6,13.76
81,2020-05-08,2020-05,2020-19,平安银行,13.76,13.95,13.68,14.02
82,2020-05-11,2020-05,2020-20,平安银行,13.92,14.0,13.9,14.13
83,2020-05-12,2020-05,2020-20,平安银行,13.95,13.79,13.72,14.05
84,2020-05-13,2020-05,2020-20,平安银行,13.75,13.63,13.53,13.78
85,2020-05-14,2020-05,2020-20,平安银行,13.55,13.3,13.22,13.59
86,2020-05-15,2020-05,2020-20,平安银行,13.39,13.23,13.14,13.43
87,2020-05-18,2020-05,2020-21,平安银行,13.2,13.2,13.12,13.34
88,2020-05-19,2020-05,2020-21,平安银行,13.41,13.36,13.27,13.45
89,2020-05-20,2020-05,2020-21,平安银行,13.38,13.51,13.27,13.62
90,2020-05-21,2020-05,2020-21,平安银行,13.52,13.4,13.36,13.57
91,2020-05-22,2020-05,2020-21,平安银行,13.33,12.92,12.92,13.34
92,2020-05-25,2020-05,2020-22,平安银行,12.97,12.96,12.76,12.98
93,2020-05-26,2020-05,2020-22,平安银行,13.02,13.04,12.94,13.07
94,2020-05-27,2020-05,2020-22,平安银行,13.05,13.0,12.96,13.19
95,2020-05-28,2020-05,2020-22,平安银行,12.87,13.07,12.81,13.18
96,2020-05-29,2020-05,2020-22,平安银行,13.01,13.0,12.92,13.04
