,周,开盘价,收盘价,最低价,最高价
0,2020-1,16.65,17.18,16.55,17.31
1,2020-2,17.01,16.69,16.52,17.34
2,2020-3,16.75,16.39,16.2,17.27
3,2020-4,16.43,15.54,15.39,16.61
4,2020-6,13.99,14.62,13.99,14.89
5,2020-7,14.51,15.03,14.3,15.14
6,2020-8,15.04,15.58,14.93,15.72
7,2020-9,15.46,14.5,14.46,15.46
8,2020-10,14.55,15.03,14.46,15.64
9,2020-11,14.71,14.52,13.9,14.88
10,2020-12,14.45,12.52,11.91,14.46
11,2020-13,12.0,13.15,11.93,13.38
12,2020-14,12.85,12.61,12.55,13.13
13,2020-15,12.89,12.79,12.65,12.98
14,2020-16,12.67,12.89,12.47,13.04
15,2020-17,12.86,13.24,12.77,13.7
16,2020-18,13.3,13.93,13.25,14.32
17,2020-19,13.76,13.95,13.6,14.02
18,2020-20,13.92,13.23,13.14,14.13
19,2020-21,13.2,12.92,12.92,13.62
20,2020-22,12.97,13.0,12.76,13.19
21,2020-23,13.1,13.59,13.08,13.88
22,2020-24,13.68,12.99,12.87,13.85
23,2020-25,12.85,12.8,12.59,12.99
24,2020-26,12.74,12.8,12.52,12.88
25,2020-27,12.92,14.25,12.71,14.32
26,2020-28,14.6,14.86,14.59,16.63
27,2020-29,14.7,14.14,13.95,15.19
28,2020-30,14.23,13.5,13.42,14.77
29,2020-31,13.67,13.34,13.1,13.68
30,2020-32,13.47,13.7,13.43,14.15
31,2020-33,13.67,14.47,13.62,14.66
32,2020-34,14.6,14.45,14.32,15.35
33,2020-35,14.5,15.13,14.11,15.18
34,2020-36,15.3,14.96,14.6,15.68
35,2020-37,14.88,15.01,14.82,15.56
36,2020-38,15.01,16.07,14.92,16.09
37,2020-39,16.0,15.19,15.11,16.05
38,2020-40,15.19,15.17,14.76,15.41
39,2020-41,15.3,15.18,15.13,15.55
40,2020-42,15.22,17.1,15.21,17.37
41,2020-43,17.3,18.13,17.25,18.78
42,2020-44,18.2,17.75,17.29,18.36
43,2020-45,17.65,17.64,17.22,18.5
44,2020-46,17.67,17.18,16.69,18.5
45,2020-47,17.08,18.86,16.9,18.99
46,2020-48,18.85,19.7,18.8,20.0
47,2020-49,19.9,19.3,18.97,20.88
48,2020-50,19.31,18.52,18.22,19.39
49,2020-51,18.6,18.36,18.15,19.1
50,2020-52,18.3,18.04,17.79,18.65
51,2020-53,18.02,19.34,17.96,19.58
